Timestamp,How long have you been working on developing software?,How frequently do or did you answer questions on Stack Overflow?,How frequently do or did you include code snippets in your answers on Stack Overflow?,Where did the code snippets in your answers come from? [I copied them from my own personal projects.],Where did the code snippets in your answers come from? [I copied them from my company's projects.],Where did the code snippets in your answers come from? [I copied them from open source projects.],Where did the code snippets in your answers come from? [I wrote the new code from scratch.],Where did the code snippets in your answers come from? [I copied the code from the question and modified it for the answer.],Where did the code snippets in your answers come from? [Others],"Were you aware, at the time of copying the code, that Stack Overflow apply Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) to content in the posts, including code snippets?",Do you usually include a software license in your code snippets on Stack Overflow?,How frequently did you check the software license of the code snippets you copy to Stack Overflow if they conflict with Stack Overflow's CC BY-SA 3.0 license?,Outdated code occurs when code snippets in your answers are no longer up-to-date with the latest version of the software you copied the code from. Have you ever been notified of outdated code in your Stack Overflow answers? ,How frequently were you notified of outdated or deprecated code in your Stack Overflow answers?,How frequently did you fix your outdated code on Stack Overflow?,Do you have any other concerns regarding answering Stack Overflow with code snippets?
2017/07/25 8:18:47 PM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Very Frequently (81--100% of the time),Rarely,Never,Never,Very frequently,Very frequently,Very rarely,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/25 8:23:36 PM GMT+1,More than 10 years,Very Frequently (every day),Frequently (61--80% of the time),Rarely,Never,Occasionally,Very frequently,Very frequently,Rarely,No,No.,Rarely (21--40% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/25 8:24:58 PM GMT+1,5 - 10 years,Very Frequently (every day),Frequently (61--80% of the time),Occasionally,Never,Never,Very frequently,Very frequently,Occasionally,No,No.,Never (0% of the time),Yes,Occasionally (41--60% of my answers),Frequently (61--80% of the cases),
2017/07/25 8:25:30 PM GMT+1,3 - 5 years,Very Rarely (roughly once or twice a year),Occasionally (41--60% of the time),Very frequently,Never,Never,Occasionally,Never,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 8:29:12 PM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Rarely (21--40% of the time),Frequently,Frequently,Occasionally,Very frequently,Frequently,Never,Yes,No.,Occasionally (41--60% of the time),Yes,Rarely (21--40% of my answers),Occasionally (41--60% of the cases),
2017/07/25 8:31:45 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Occasionally (41--60% of the time),Frequently,Very rarely,Frequently,Frequently,Occasionally,Very rarely,Yes,No.,Rarely (21--40% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/25 8:31:58 PM GMT+1,3 - 5 years,Very Rarely (roughly once or twice a year),Rarely (21--40% of the time),Rarely,Never,Rarely,Occasionally,Occasionally,Very rarely,Yes,No.,Rarely (21--40% of the time),No,Very rarely (1--20% of my answers),Never (0% of the cases),
2017/07/25 8:32:06 PM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Occasionally (41--60% of the time),Rarely,Never,Rarely,Frequently,Frequently,Never,Yes,No.,Occasionally (41--60% of the time),No,Never (0% of my answers),,
2017/07/25 8:33:54 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Rarely (21--40% of the time),Very frequently,Never,Occasionally,Very frequently,Very frequently,Rarely,Yes,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Never (0% of the cases),"I've got no issues with code snippets on Stack Overflow, I think they are great. Any one using them should pay attention to details such as the date of the answer etc. "
2017/07/25 8:34:43 PM GMT+1,3 - 5 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Very rarely,Never,Never,Frequently,Frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 8:34:43 PM GMT+1,More than 10 years,Frequently (roughly 3-6 times a week),Very Frequently (81--100% of the time),Occasionally,Very rarely,Rarely,Frequently,Very frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 8:35:00 PM GMT+1,5 - 10 years,Very Frequently (every day),Frequently (61--80% of the time),Frequently,Very rarely,Occasionally,Very frequently,Never,Never,Yes,No.,Rarely (21--40% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/25 8:36:29 PM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Frequently,Never,Frequently,Occasionally,Frequently,Very rarely,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Frequently (61--80% of the cases),SO's license is not clearly explained when one registers or starts to answer questions.
2017/07/25 8:43:14 PM GMT+1,3 - 5 years,Rarely (roughly once or twice a month),Occasionally (41--60% of the time),Rarely,Never,Never,Very frequently,Occasionally,Very rarely,No,No.,Never (0% of the time),Yes,Occasionally (41--60% of my answers),Very frequently (81--100% of the cases),
2017/07/25 8:45:51 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Very Frequently (81--100% of the time),Very frequently,Never,Never,Frequently,Occasionally,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 8:46:39 PM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Frequently (61--80% of the time),Rarely,Never,Never,Very frequently,Very frequently,Occasionally,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 8:52:45 PM GMT+1,5 - 10 years,Frequently (roughly 3-6 times a week),Frequently (61--80% of the time),Frequently,Frequently,Very frequently,Frequently,Very frequently,Frequently,Yes,No.,Very rarely (1--20% of the time),No,Never (0% of my answers),,
2017/07/25 8:54:09 PM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Very Frequently (81--100% of the time),Never,Never,Never,Very frequently,Rarely,Never,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Very frequently (81--100% of the cases),
2017/07/25 9:00:14 PM GMT+1,3 - 5 years,Frequently (roughly 3-6 times a week),Frequently (61--80% of the time),Very rarely,Never,Occasionally,Very frequently,Very frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 9:02:46 PM GMT+1,5 - 10 years,Occasionally (roughly once or twice a week),Occasionally (41--60% of the time),Occasionally,Never,Never,Frequently,Occasionally,Never,Yes,No.,Frequently (61--80% of the time),Yes,Very rarely (1--20% of my answers),Occasionally (41--60% of the cases),
2017/07/25 9:04:17 PM GMT+1,More than 10 years,Very Frequently (every day),Frequently (61--80% of the time),Very rarely,Never,Very rarely,Very frequently,Frequently,Never,No,No.,Never (0% of the time),Yes,Rarely (21--40% of my answers),Occasionally (41--60% of the cases),
2017/07/25 9:15:29 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Frequently (61--80% of the time),Frequently,Very rarely,Very rarely,Frequently,Occasionally,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 9:26:44 PM GMT+1,3 - 5 years,Very Frequently (every day),Very Frequently (81--100% of the time),Occasionally,Never,Very rarely,Very frequently,Very frequently,Occasionally,No,No.,Occasionally (41--60% of the time),No,Never (0% of my answers),,
2017/07/25 9:30:25 PM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Occasionally (41--60% of the time),Frequently,Frequently,Never,Occasionally,Frequently,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 9:30:58 PM GMT+1,More than 10 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Occasionally,Never,Very rarely,Very frequently,Occasionally,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 9:37:42 PM GMT+1,More than 10 years,Occasionally (roughly once or twice a week),Occasionally (41--60% of the time),Very frequently,Occasionally,Occasionally,Frequently,Very frequently,Occasionally,No,No.,Never (0% of the time),Yes,Very rarely (1--20% of my answers),Frequently (61--80% of the cases),
2017/07/25 9:40:09 PM GMT+1,5 - 10 years,Rarely (roughly once or twice a month),Frequently (61--80% of the time),Very rarely,Very rarely,Occasionally,Frequently,Frequently,Never,No,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 9:41:01 PM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Occasionally (41--60% of the time),Very frequently,Never,Rarely,Very rarely,Never,Never,Yes,No.,Never (0% of the time),No,Never (0% of my answers),,
2017/07/25 9:53:15 PM GMT+1,More than 10 years,Very Rarely (roughly once or twice a year),Very Frequently (81--100% of the time),Occasionally,Never,Never,Very frequently,Never,Never,Yes,No.,Rarely (21--40% of the time),No,Never (0% of my answers),,
