,,,,,,,,result,reason,,Row Labels,Count of result
708,scc,12008316_0.java,11,31,myfaces-core-2.0.2/myfaces-core-2.0.2-src/src/myfaces-impl-2.0.2/org/apache/myfaces/util/AbstractAttributeMap.java,244,263,BP,3,,AC,40
2009,simian,4207100_2.java,18,30,struts2-2.2.1-all/struts-2.2.1/src/apps/rest-showcase/src/main/java/org/apache/struts2/rest/example/Order.java,38,50,BP,3,,BP,251
267,scc,12488529_1.java,107,117,jhotdraw-7.5.1/jhotdraw_7.5.1/Source/jhotdraw7/src/main/java/org/jhotdraw/util/Images.java,81,93,EX,4,,EX,32
682,scc,12008316_0.java,11,31,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/RingImplUnsafe.java,97,116,BP,4,,IN,2
813,scc,13435398_0.java,94,114,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/RingImplUnsafe.java,97,116,BP,4,,QS,36
1563,scc,5764008_1.java,140,159,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/trace/internal/datamodel/TracingComponent.java,26,45,BP,4,,UD,21
1656,scc,5961624_0.java,13,33,lucene-4.3.0/lucene-4.3.0/suggest/src/java/org/apache/lucene/search/spell/DirectSpellChecker.java,249,268,BP,7,,Grand Total,382
900,scc,1516601_0.java,19,46,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/CurveBoundaryImpl.java,62,88,BP,8,,,
1244,scc,2265637_0.java,22,42,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/event/collection/detached/MultipleCollectionRefEntity2.java,62,81,BP,9,,,
2016,simian,4498118_0.java,38,58,netbeans-6.9.1-201007282301/mobility.midpexamples/LocalizationDemo/src/l10ndemo/LocalizationVisualMIDlet.java,102,122,BP,10,,,
874,scc,14455624_1.java,12,31,lucene-4.3.0/lucene-4.3.0/highlighter/src/test/org/apache/lucene/search/postingshighlight/TestPostingsHighlighterRanking.java,160,178,BP,11,,,
1455,scc,3910602_0.java,1,10,lucene-4.3.0/lucene-4.3.0/core/src/java/org/apache/lucene/util/automaton/SortedIntSet.java,210,220,BP,11,,,
908,scc,1516601_0.java,19,46,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/metagen/mappedsuperclass/idclass/ProductAttributeId.java,19,45,BP,12,,,
1498,scc,4207100_3.java,26,46,geotools-2/geotools-2.7-M3/modules/library/main/src/main/java/org/geotools/styling/PointSymbolizerImpl.java,57,76,BP,12,,,
2141,simian,19856538_0.java,22,31,batik-src-1.7/batik-1.7/sources/org/apache/batik/parser/LengthParser.java,131,143,AC,13,,,
2024,simian,5883717_1.java,2,14,jboss-5/jboss-5.1.0.GA-src/embedded/src/main/java/org/jboss/embedded/util/SystemProperty.java,3,15,BP,14,,,
285,scc,16207578_0.java,1,10,eclipse_SDK/eclipse_SDK-4.3/src/src/javax/servlet/http/HttpServlet.java,61,70,EX,16,,,
1443,scc,3357300_0.java,7,20,rssowl-2.0.5/org.rssowl.ui/src/org/rssowl/ui/internal/Controller.java,187,199,BP,17,,,
1377,scc,25044969_0.java,31,51,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/pagination/Entry.java,39,58,BP,19,,,
1821,simian,10396359_0.java,21,33,apache-roller-4.0.1/apache-roller-src-4.0.1/tomcat/work/Catalina/localhost/roller/org/apache/jsp/WEB_002dINF/jsps/tiles/bannerInstallation_jsp.java,82,94,BP,20,,,
721,scc,1204658_0.java,108,124,netbeans-6.9.1-201007282301/o.jruby/patched_files/org/jruby/nb/lexer/yacc/StringTerm.java,402,417,BP,21,,,
1492,scc,4207100_3.java,26,46,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/internal/views/markers/MarkersViewColumnsDialog.java,163,182,BP,21,,,
145,simian,18201985_0.java,1,26,poi-3.6-20091214/poi-3.6/src/examples/src/org/apache/poi/ss/examples/CalendarDemo.java,11,36,QS,22,,,
1767,scc,9684751_0.java,10,37,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/e4/core/di/internal/extensions/EventObjectSupplier.java,83,109,BP,22,,,
1352,scc,25044969_0.java,31,51,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/ui/texteditor/rulers/RulerColumnDescriptor.java,150,169,BP,23,,,
2106,simian,14849596_0.java,10,21,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/ChartPanel.java,451,462,AC,23,,,
486,scc,12316190_0.java,346,367,iReport-3/iReport-3.7.5-src/ireport-designer/src/com/jaspersoft/ireport/designer/utils/RoundGradientContext.java,20,45,UD,24,,,
1169,scc,22124868_0.java,1,28,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/CurveBoundaryImpl.java,62,88,BP,25,,,
1782,scc,9684751_0.java,10,37,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/jpa/ql/DestinationEntity.java,47,73,BP,25,,,
183,simian,24330611_0.java,165,177,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/ShowLayouts.java,127,139,QS,26,,,
2173,simian,19856538_0.java,22,31,eclipse_SDK/eclipse_SDK-4.3/src/src/com/ibm/icu/impl/PatternTokenizer.java,223,232,AC,26,,,
1997,simian,3664108_0.java,7,23,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/fetchprofile/Customer2.java,27,43,BP,27,,,
621,scc,10194435_0.java,33,60,lucene-4.3.0/lucene-4.3.0/core/src/java/org/apache/lucene/search/payloads/PayloadNearQuery.java,81,107,BP,28,,,
1625,scc,5961624_0.java,13,33,geotools-2/geotools-2.7-M3/modules/extension/wms/src/main/java/org/geotools/data/ows/StyleImpl.java,73,92,BP,30,,,
2070,scc,12466384_0.java,45,54,iText-src-5/src/rups/com/itextpdf/rups/view/itext/XRefTable.java,65,74,AC,30,,,
400,scc,8199584_0.java,44,67,netbeans-6.9.1-201007282301/openide.awt/src/org/openide/awt/EqualFlowLayout.java,29,50,EX,31,,,
2152,simian,19856538_0.java,22,31,batik-src-1.7/batik-1.7/sources/org/apache/batik/parser/NumberParser.java,179,188,AC,32,,,
1023,scc,16688737_0.java,20,40,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/propertyref/DoesNotWork.java,61,80,BP,34,,,
1496,scc,4207100_3.java,26,46,geotools-2/geotools-2.7-M3/modules/library/jdbc/src/main/java/org/geotools/jdbc/RegexpValidator.java,29,48,BP,36,,,
199,simian,24330611_0.java,166,177,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/GraphEditorDemo.java,116,127,QS,37,,,
2247,simian,19856538_0.java,22,31,xerces-J-2.10.0/xerces-2_10_0/src/org/apache/xerces/dom/DOMImplementationSourceImpl.java,47,56,AC,38,,,
1512,scc,4207100_3.java,26,46,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/derivedidentities/bidirectional/Order.java,53,72,BP,40,,,
1627,scc,5961624_0.java,13,33,geotools-2/geotools-2.7-M3/modules/library/main/src/main/java/org/geotools/filter/capability/OperatorImpl.java,25,44,BP,40,,,
1864,simian,13434746_0.java,4,17,FitLibrary20100806/fitnesse/lib/src/fitlibrarySrc/fitlibrary/specify/parser/UsePropertyEditor.java,15,28,BP,40,,,
192,simian,24330611_0.java,165,177,jung2-2_0_1/jung-samples-2.0.1/edu/uci/ics/jung/samples/VertexLabelPositionDemo.java,62,74,QS,41,,,
934,scc,15850476_0.java,13,40,geotools-2/geotools-2.7-M3/modules/unsupported/geometry/src/main/java/org/geotools/geometry/iso/primitive/CurveBoundaryImpl.java,62,88,BP,43,,,
1357,scc,25044969_0.java,31,51,geotools-2/geotools-2.7-M3/modules/library/main/src/main/java/org/geotools/styling/PointSymbolizerImpl.java,57,76,BP,44,,,
2232,simian,19856538_0.java,22,31,netbeans-6.9.1-201007282301/lexer/demo/src/org/netbeans/modules/lexer/demo/antlr/CalcScanner.java,97,106,AC,44,,,
1260,scc,22818246_0.java,3,12,hadoop-1/hadoop-1.0.0/src/contrib/eclipse-plugin/src/java/org/apache/hadoop/eclipse/ImageLibrary.java,25,34,BP,45,,,
1208,scc,22448174_0.java,1,13,hadoop-1/hadoop-1.0.0/src/tools/org/apache/hadoop/tools/rumen/Node.java,61,73,BP,47,,,
